"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
result_ch00280_4,clinical_lab_results,,radio,"Test result","CH00210, Positive | CH00180, Negative | CH00215, Interpreted | CH00204, Indeterminate | CH00216, Other | CH00206, Not tested | CH03201, Result pending",,,,,,[another_ch00280_3]='CH00001',y,,,,,"[result_codedvalue]
CH01836 = Auxiliary 4 Other Result"
contype_ch00280_4,clinical_lab_results,,checkbox,"Specimen Condition","CH00225, Received in appropriate conditions and timeframe | CH00226, Received MORE THAN 12 hours after collection | CH00227, Problem with tube labeling | CH00228, Container leaking | CH00229, Wrong type of tube or container | CH00230, Inappropriate temperature | CH00231, Other condition","check all that apply",,,,,"[result_ch00280_4] = 'CH00180' or [result_ch00280_4] = 'CH00215' or [result_ch00280_4] = 'CH00204' or [result_ch00280_4] = 'CH03201' or [result_ch00280_4] = 'CH00210' or [result_ch00280_4] = 'CH00216'",,,,,,"[specimen_condition] ."
conother_ch00280_4,clinical_lab_results,,text,"Please explain",,,,,,,"[contype_ch00280_4(CH00231)] = '1'",,,,,,"[comments] associated with test  [test_code_champs_35_4] ."
narrative_ch00280_4,clinical_lab_results,,notes,"Result Narrative: Please explain ",,,,,,,"[result_ch00280_4]='CH00215' or [result_ch00280_4]='CH00216' or [result_ch00280_4]='CH00210'",y,LH,,,,
not_done_ch00280_4,clinical_lab_results,,radio,"Reason not tested","CH00218, Sample not received or lost | CH00219, Sample mix-up or aliquotting or labeling error | CH00220, Sample not handled or processed correctly | CH00221, Wrong test ordered | CH00222, No or Incomplete test run (reagent or instrument or method problem) | CH00223, Invalid test run (QC failure) | CH00217, Sample quantity not sufficient | CH00224, Other reason",,,,,,"[result_ch00280_4] = 'CH00206'",,,,,,[reason_nottested]
reason_ch00280_4,clinical_lab_results,,notes,"Please explain",,,,,,,"[not_done_ch00280_4] = 'CH00224'",,,,,,"[comment] "
num_ch00280_4,clinical_lab_results,,text,"Result numeric",,,number,,,,"[result_ch00280_4] = 'CH00210' or [result_ch00280_4] = 'CH00180' or [result_ch00280_4] = 'CH00204' or [result_ch00280_4] = 'CH00216' or [result_ch00280_4] = 'CH00215'",,,,,,"[result_numeric] "
unit_ch00280_4,clinical_lab_results,,dropdown,"Unit of measure","CH00109, ml | CH00110, uL | CH00108, mg | CH00111, g | CH00112, in | CH00115, cubic centimeter | CH00113, cm | CH00106, ng/uL | CH00107, ng/mL | CH00105, ct | CH01877, Other",,,,,,"[result_ch00280_4] = 'CH00210' or [result_ch00280_4] = 'CH00180' or [result_ch00280_4] = 'CH00204' or [result_ch00280_4] = 'CH00216' or [result_ch00280_4] = 'CH00215'",,,,,,[result_unitofmeasure]
unit_ch00280_4_other,clinical_lab_results,,text,"Specify other unit of measure:",,,,,,,[unit_ch00280_4]='CH00231',,,,,,
ref_ch00280_4,clinical_lab_results,,text,"Result reference",,,,,,,"[result_ch00280_4] = 'CH00210' or [result_ch00280_4] = 'CH00180' or [result_ch00280_4] = 'CH00204' or [result_ch00280_4] = 'CH00216' or [result_ch00280_4] = 'CH00215'",,,,,,"[result_reference] "
t_dt_ch00280_4,clinical_lab_results,,text,"Date of test",,,date_dmy,,,,"[result_ch00280_4] = 'CH00210' or [result_ch00280_4] = 'CH00180' or [result_ch00280_4] = 'CH00204' or [result_ch00280_4] = 'CH00216' or [result_ch00280_4] = 'CH00215'",y,RH,,,,[testing_date]
r_dt_ch00280_4,clinical_lab_results,,text,"Date final result determined",,,date_dmy,,,,"[result_ch00280_4] = 'CH00210' or [result_ch00280_4] = 'CH00180' or [result_ch00280_4] = 'CH00204' or [result_ch00280_4] = 'CH00216' or [result_ch00280_4] = 'CH00215'",y,RH,,,,[result_date]
specimen_type_ch00280_4,clinical_lab_results,,dropdown,"Specimen type","CH00093, Blood | CH00083, Cerebriospinal fluid sample (CSF) | CH00089, Lung | CH00098, Nasopharyngeal and oropharyngeal swab | CH00081, Plasma | CH00095, Rectal swab | CH00096, Serum | CH00084, Stool | CH00094, Urine pellet | CH00100, Urine supernatant | CH00085, Urine | CH01263, Other specimen type",,,,,,"[result_ch00280_4] = 'CH00210' or [result_ch00280_4] = 'CH00180' or [result_ch00280_4] = 'CH00204' or [result_ch00280_4] = 'CH00216' or [result_ch00280_4] = 'CH00215'",y,,,,,[specimen_type]
spec_oth_type_ch00280_4,clinical_lab_results,,text,"Specify specimen type",,,,,,,"[specimen_type_ch00280_4] = 'CH01263'",y,,,,,[comment]
id_ch00280_4,clinical_lab_results,,text,"Specimen ID",,,,,,,"[result_ch00280_4] = 'CH00210' or [result_ch00280_4] = 'CH00180' or [result_ch00280_4] = 'CH00204' or [result_ch00280_4] = 'CH00216' or [result_ch00280_4] = 'CH00215'",y,,,,,[specimen_id]
method_ch00280_4,clinical_lab_results,,dropdown,"Testing method","CH00124, Analysis using real time polymerase chain reaction technique (RT PCR) | CH00119, Culture | CH00117, Enzyme-linked immunosorbent assay (ELISA) | CH00118, Gram stain | CH00122, Grocott methenamine silver (GMS) stain | CH00121, Hematoxylin and eosin (HE) stain | CH00120, Malaria Smear | CH00123, Ziehl-Neelsen stain | CH01264, Other testing method",,,,,,"[result_ch00280_4] = 'CH00210' or [result_ch00280_4] = 'CH00180' or [result_ch00280_4] = 'CH00204' or [result_ch00280_4] = 'CH00216'",,,,,,[testing_method]
method_oth_ch00280_4,clinical_lab_results,,text,"Specify testing method",,,,,,,[method_ch00280_4]='CH01264',,,,,,[comment]
facility_ch00280_4,clinical_lab_results,,text,"Testing facility",,,,,,,"[result_ch00280_4] = 'CH00210' or [result_ch00280_4] = 'CH00180' or [result_ch00280_4] = 'CH00204' or [result_ch00280_4] = 'CH00216' or [result_ch00280_4] = 'CH00215'",,,,,,"[testing_facility] "
instrument_ch00280_4,clinical_lab_results,,dropdown,"Testing instrument","CH00130, GeneXpert | CH00131, LifeTech  ViiA 7 Real Time PCR System | CH00132, LifeTech QS7 Real Time PCR System | CH00133, BD BACTEC | CH00143, BioMerieux BacT/ALERT | CH00151, Abbott m2000 | CH00152, Roche COBAS TaqMan Analyzer/COBAS TaqMan 48 Analyzer | CH00126, Roche Amplicor Monitor | CH00127, BioMerieux NucliSens easyQ | CH00128, Versant kPCR | CH00129, Other instrument",,,,,,"[result_ch00280_4] = 'CH00210' or [result_ch00280_4] = 'CH00180' or [result_ch00280_4] = 'CH00204' or [result_ch00280_4] = 'CH00216' or [result_ch00280_4] = 'CH00215'",,,,,,"[testing_instrument] "
comment_ch00280_4,clinical_lab_results,,notes,Comments,,,,,,,"[result_ch00280_4] = 'CH00210' or [result_ch00280_4] = 'CH00180' or [result_ch00280_4] = 'CH00204' or [result_ch00280_4] = 'CH00216' or [result_ch00280_4] = 'CH00215'",,,,,,"[comment] "
another_ch00280_4,clinical_lab_results,,radio,"Do you have another test to enter? ","CH00001, Yes | CH00002, No",,,,,,"[result_ch00280_4] = 'CH00210' or [result_ch00280_4] = 'CH00180' or [result_ch00280_4] = 'CH00204' or [result_ch00280_4] = 'CH00216' or [result_ch00280_4] = 'CH00215' or [result_ch00280_4] = 'CH00206'",,RH,,,,
test_code_ch00280_5,clinical_lab_results,"Auxiliary Test #5",radio,"Confirm test for which you are entering results","CH01837, Auxiliary Test 5",,,,,,[another_ch00280_4]='CH00001',y,RH,,,,
desc_ch00280_5,clinical_lab_results,,notes,"Please describe the test that was performed",,,,,,,[another_ch00280_4]='CH00001',y,LH,,,,[comment]
result_ch00280_5,clinical_lab_results,,radio,"Test result","CH00210, Positive | CH00180, Negative | CH00215, Interpreted | CH00204, Indeterminate | CH00216, Other | CH00206, Not tested | CH03201, Result pending",,,,,,"[result_ch00280_5]= 'CH00001' or [result_ch00280_5]= 'CH00180' or [result_ch00280_5]= 'CH00215' or [result_ch00280_5]= 'CH00204' or [result_ch00280_5]= 'CH03201'",y,,,,,"[result_codedvalue]
CH01837 = Auxiliary 5 Other Result"
contype_ch00280_5,clinical_lab_results,,checkbox,"Specimen Condition","CH00225, Received in appropriate conditions and timeframe | CH00226, Received MORE THAN 12 hours after collection | CH00227, Problem with tube labeling | CH00228, Container leaking | CH00229, Wrong type of tube or container | CH00230, Inappropriate temperature | CH00231, Other condition","check all that apply",,,,,"[result_ch00280_5] = 'CH00180' or [result_ch00280_5] = 'CH00215' or [result_ch00280_5] = 'CH00204' or [result_ch00280_5] = 'CH03201' or [result_ch00280_5] = 'CH00210' or [result_ch00280_5] = 'CH00216'",,,,,,"[specimen_condition] ."
conother_ch00280_5,clinical_lab_results,,text,"Please explain",,,,,,,"[contype_ch00280_5(CH00231)] = '1'",,,,,,"[comments] associated with test  [test_code_champs_35_5] ."
narrative_ch00280_5,clinical_lab_results,,notes,"Result Narrative: Please explain ",,,,,,,"[result_ch00280_5]='CH00215' or [result_ch00280_5]='CH00216' or [result_ch00280_5]='CH00210'",y,LH,,,,
